,Model,Score,Value
0,NN,test_f1,0.7579983593109105
1,NN,test_f1,0.9117647058823528
2,NN,test_f1,0.9563182527301093
3,NN,test_f1,0.9728892331525948
4,NN,test_f1,0.9868804664723032
5,NN,test_accuracy,0.8063033486539725
6,NN,test_accuracy,0.9290873276428102
7,NN,test_accuracy,0.9632304661851608
8,NN,test_accuracy,0.9770039421813403
9,NN,test_accuracy,0.988173455978975
10,NN,test_precision,0.8105408294301472
11,NN,test_precision,0.9306532526803826
12,NN,test_precision,0.9628933992171864
13,NN,test_precision,0.9773737828060227
14,NN,test_precision,0.9883197951122835
15,NN,test_recall,0.793800695249131
16,NN,test_recall,0.9228676959628401
17,NN,test_recall,0.9617109716716483
18,NN,test_recall,0.9756227946365561
19,NN,test_recall,0.9878091712676371
20,NN,test_f1_macro,0.798265736853047
21,NN,test_f1_macro,0.9262445922386517
22,NN,test_f1_macro,0.9622861104920387
23,NN,test_f1_macro,0.9764617300959779
24,NN,test_f1_macro,0.9880574581165344
25,NN,test_f1_micro,0.8063033486539725
26,NN,test_f1_micro,0.9290873276428102
27,NN,test_f1_micro,0.9632304661851608
28,NN,test_f1_micro,0.9770039421813403
29,NN,test_f1_micro,0.988173455978975
30,NN,test_f1_weighted,0.8036329578911651
31,NN,test_f1_weighted,0.9287640734496951
32,NN,test_f1_weighted,0.9632069552550416
33,NN,test_f1_weighted,0.9769828170351574
34,NN,test_f1_weighted,0.9881703627026432
0,Linear_Regression,test_f1,0.6096718480138169
1,Linear_Regression,test_f1,0.47639796659404504
2,Linear_Regression,test_f1,0.5975212002609264
3,Linear_Regression,test_f1,0.6416184971098265
4,Linear_Regression,test_f1,0.6930320150659134
5,Linear_Regression,test_accuracy,0.7032173342087984
6,Linear_Regression,test_accuracy,0.5265922521339461
7,Linear_Regression,test_accuracy,0.5948785292186474
8,Linear_Regression,test_accuracy,0.6741130091984231
9,Linear_Regression,test_accuracy,0.6787122207621551
10,Linear_Regression,test_precision,0.7017892644135189
11,Linear_Regression,test_precision,0.4536652835408022
12,Linear_Regression,test_precision,0.5210466439135382
13,Linear_Regression,test_precision,0.6082191780821918
14,Linear_Regression,test_precision,0.5878594249201278
15,Linear_Regression,test_recall,0.5389312977099237
