,Model,Score,Value
0,NN,test_f1,0.7616
1,NN,test_f1,0.8674121405750799
2,NN,test_f1,0.9431021044427124
3,NN,test_f1,0.9421487603305785
4,NN,test_f1,0.9669811320754716
5,NN,test_accuracy,0.804333552199606
6,NN,test_accuracy,0.8910045961917269
7,NN,test_accuracy,0.9520682862770847
8,NN,test_accuracy,0.9494086727989488
9,NN,test_accuracy,0.9724047306176085
10,NN,test_precision,0.8030876122874995
11,NN,test_precision,0.8903892511999312
12,NN,test_precision,0.9521662410441938
13,NN,test_precision,0.9515502747199409
14,NN,test_precision,0.9744142967277711
15,NN,test_recall,0.7949314393339317
16,NN,test_recall,0.8851474023216308
17,NN,test_recall,0.9496781305114639
18,NN,test_recall,0.9465821812596006
19,NN,test_recall,0.9693882956182727
20,NN,test_f1_macro,0.7978378619153674
21,NN,test_f1_macro,0.8874407414135155
22,NN,test_f1_macro,0.9508477056530068
23,NN,test_f1_macro,0.9485991904396617
24,NN,test_f1_macro,0.9716395502363815
25,NN,test_f1_micro,0.804333552199606
26,NN,test_f1_micro,0.8910045961917269
27,NN,test_f1_micro,0.9520682862770847
28,NN,test_f1_micro,0.9494086727989488
29,NN,test_f1_micro,0.9724047306176085
30,NN,test_f1_weighted,0.8030011029105315
31,NN,test_f1_weighted,0.8906363750338305
32,NN,test_f1_weighted,0.9520021714932804
33,NN,test_f1_weighted,0.9492688145902761
34,NN,test_f1_weighted,0.9723312733010107
0,Linear_Regression,test_f1,0.7285342584562011
1,Linear_Regression,test_f1,0.7030397505845674
2,Linear_Regression,test_f1,0.7476085356880059
3,Linear_Regression,test_f1,0.726844583987441
4,Linear_Regression,test_f1,0.7988165680473372
5,Linear_Regression,test_accuracy,0.7944845699277742
6,Linear_Regression,test_accuracy,0.7498358502954695
7,Linear_Regression,test_accuracy,0.7747866053841103
8,Linear_Regression,test_accuracy,0.771353482260184
9,Linear_Regression,test_accuracy,0.8212877792378449
10,Linear_Regression,test_precision,0.8433734939759037
11,Linear_Regression,test_precision,0.7170111287758346
12,Linear_Regression,test_precision,0.7205673758865249
13,Linear_Regression,test_precision,0.7467741935483871
14,Linear_Regression,test_precision,0.7736389684813754
15,Linear_Regression,test_recall,0.6412213740458015
16,Linear_Regression,test_recall,0.6896024464831805
17,Linear_Regression,test_recall,0.7767584097859327
18,Linear_Regression,test_recall,0.7079510703363915
19,Linear_Regression,test_recall,0.8256880733944955
20,Linear_Regression,test_f1_macro,0.7815941234172183
21,Linear_Regression,test_f1_macro,0.743465422654734
22,Linear_Regression,test_f1_macro,0.7721445168066585
23,Linear_Regression,test_f1_macro,0.7651172072479577
24,Linear_Regression,test_f1_macro,0.819030033432652
25,Linear_Regression,test_f1_micro,0.7944845699277742
26,Linear_Regression,test_f1_micro,0.7498358502954695
27,Linear_Regression,test_f1_micro,0.7747866053841101
28,Linear_Regression,test_f1_micro,0.771353482260184
29,Linear_Regression,test_f1_micro,0.8212877792378449
30,Linear_Regression,test_f1_weighted,0.7890148399219437
31,Linear_Regression,test_f1_weighted,0.7491722640828928
32,Linear_Regression,test_f1_weighted,0.7756082304905129
33,Linear_Regression,test_f1_weighted,0.7704985090730239
34,Linear_Regression,test_f1_weighted,0.8218721369756594
0,SVM,test_f1,0.7351351351351352
1,SVM,test_f1,0.715927750410509
2,SVM,test_f1,0.7610759493670887
3,SVM,test_f1,0.7477253928866832
4,SVM,test_f1,0.8149300155520995
5,SVM,test_accuracy,0.8069599474720945
6,SVM,test_accuracy,0.7728168089297439
7,SVM,test_accuracy,0.8017071569271176
8,SVM,test_accuracy,0.7996057818659659
9,SVM,test_accuracy,0.8436268068331143
10,SVM,test_precision,0.8967032967032967
11,SVM,test_precision,0.7730496453900709
12,SVM,test_precision,0.7885245901639344
13,SVM,test_precision,0.8144144144144144
14,SVM,test_precision,0.8291139240506329
15,SVM,test_recall,0.6229007633587786
16,SVM,test_recall,0.6666666666666666
17,SVM,test_recall,0.735474006116208
18,SVM,test_recall,0.691131498470948
19,SVM,test_recall,0.8012232415902141
20,SVM,test_f1_macro,0.7916378155014518
21,SVM,test_f1_macro,0.7633249255334821
22,SVM,test_f1_macro,0.7958017232806263
23,SVM,test_f1_macro,0.7907564294133689
24,SVM,test_f1_macro,0.8397744503244002
25,SVM,test_f1_micro,0.8069599474720944
26,SVM,test_f1_micro,0.7728168089297439
27,SVM,test_f1_micro,0.8017071569271177
28,SVM,test_f1_micro,0.7996057818659659
29,SVM,test_f1_micro,0.8436268068331143
30,SVM,test_f1_weighted,0.7995400288422435
31,SVM,test_f1_weighted,0.7700159253046175
32,SVM,test_f1_weighted,0.8007039172342774
33,SVM,test_f1_weighted,0.7968067854033234
34,SVM,test_f1_weighted,0.8432676888534886
0,NuSVM,test_f1,0.7342222222222222
1,NuSVM,test_f1,0.7217675941080196
2,NuSVM,test_f1,0.7608346709470305
3,NuSVM,test_f1,0.7520938023450586
4,NuSVM,test_f1,0.8137715179968701
5,NuSVM,test_accuracy,0.8036769533814839
6,NuSVM,test_accuracy,0.7767564018384767
7,NuSVM,test_accuracy,0.804333552199606
8,NuSVM,test_accuracy,0.8055190538764783
9,NuSVM,test_accuracy,0.8436268068331143
10,NuSVM,test_precision,0.8787234042553191
11,NuSVM,test_precision,0.7764084507042254
12,NuSVM,test_precision,0.8006756756756757
13,NuSVM,test_precision,0.8314814814814815
14,NuSVM,test_precision,0.8333333333333334
15,NuSVM,test_recall,0.6305343511450382
16,NuSVM,test_recall,0.6743119266055045
17,NuSVM,test_recall,0.7247706422018348
18,NuSVM,test_recall,0.6865443425076453
19,NuSVM,test_recall,0.7951070336391437
20,NuSVM,test_f1_macro,0.7892870611371392
21,NuSVM,test_f1_macro,0.7676820426680449
22,NuSVM,test_f1_macro,0.7976395576957375
23,NuSVM,test_f1_macro,0.7960469011725293
24,NuSVM,test_f1_macro,0.839501840538639
25,NuSVM,test_f1_micro,0.8036769533814839
26,NuSVM,test_f1_micro,0.7767564018384767
27,NuSVM,test_f1_micro,0.804333552199606
28,NuSVM,test_f1_micro,0.8055190538764783
29,NuSVM,test_f1_micro,0.8436268068331143
30,NuSVM,test_f1_weighted,0.7969881843734342
31,NuSVM,test_f1_weighted,0.7741637277897818
32,NuSVM,test_f1_weighted,0.8028352574009062
33,NuSVM,test_f1_weighted,0.8022269032415692
34,NuSVM,test_f1_weighted,0.8431196388460886
0,Random_Forest,test_f1,0.6950226244343892
1,Random_Forest,test_f1,0.6938775510204082
2,Random_Forest,test_f1,0.6870748299319729
3,Random_Forest,test_f1,0.696027633851468
4,Random_Forest,test_f1,0.7813733228097869
5,Random_Forest,test_accuracy,0.7787261982928431
6,Random_Forest,test_accuracy,0.7636244254760342
7,Random_Forest,test_accuracy,0.7583716349310571
8,Random_Forest,test_accuracy,0.7687253613666228
9,Random_Forest,test_accuracy,0.8180026281208935
10,Random_Forest,test_precision,0.8533333333333334
11,Random_Forest,test_precision,0.7816091954022989
12,Random_Forest,test_precision,0.7739463601532567
13,Random_Forest,test_precision,0.7996031746031746
14,Random_Forest,test_precision,0.8075040783034257
15,Random_Forest,test_recall,0.5862595419847328
16,Random_Forest,test_recall,0.6238532110091743
17,Random_Forest,test_recall,0.617737003058104
18,Random_Forest,test_recall,0.6162079510703364
19,Random_Forest,test_recall,0.7568807339449541
20,Random_Forest,test_f1_macro,0.7607003900121456
21,Random_Forest,test_f1_macro,0.7506820910182255
22,Random_Forest,test_f1_macro,0.7451416930408528
23,Random_Forest,test_f1_macro,0.7546946228642282
24,Random_Forest,test_f1_macro,0.8127463125022486
25,Random_Forest,test_f1_micro,0.7787261982928431
26,Random_Forest,test_f1_micro,0.7636244254760342
27,Random_Forest,test_f1_micro,0.7583716349310571
28,Random_Forest,test_f1_micro,0.7687253613666228
29,Random_Forest,test_f1_micro,0.8180026281208935
30,Random_Forest,test_f1_weighted,0.7698857899255153
31,Random_Forest,test_f1_weighted,0.7587011166909312
32,Random_Forest,test_f1_weighted,0.753338919284063
33,Random_Forest,test_f1_weighted,0.7629434636321195
34,Random_Forest,test_f1_weighted,0.8171574950214253
0,XGBoost,test_f1,0.7263339070567986
1,XGBoost,test_f1,0.700395256916996
2,XGBoost,test_f1,0.7018927444794952
3,XGBoost,test_f1,0.7100977198697068
4,XGBoost,test_f1,0.783661119515885
5,XGBoost,test_accuracy,0.7912015758371634
6,XGBoost,test_accuracy,0.7511490479317138
7,XGBoost,test_accuracy,0.7518056467498359
8,XGBoost,test_accuracy,0.7660972404730617
9,XGBoost,test_accuracy,0.812089356110381
10,XGBoost,test_precision,0.8323471400394478
11,XGBoost,test_precision,0.7250409165302782
12,XGBoost,test_precision,0.7247557003257329
13,XGBoost,test_precision,0.759581881533101
14,XGBoost,test_precision,0.7754491017964071
15,XGBoost,test_recall,0.6442748091603053
16,XGBoost,test_recall,0.6773700305810397
17,XGBoost,test_recall,0.6804281345565749
18,XGBoost,test_recall,0.6666666666666666
19,XGBoost,test_recall,0.7920489296636085
20,XGBoost,test_f1_macro,0.7787720490698006
21,XGBoost,test_f1_macro,0.7437967300867967
22,XGBoost,test_f1_macro,0.7446471596413224
23,XGBoost,test_f1_macro,0.7570312387894791
24,XGBoost,test_f1_macro,0.8087875864710667
25,XGBoost,test_f1_micro,0.7912015758371636
26,XGBoost,test_f1_micro,0.7511490479317138
27,XGBoost,test_f1_micro,0.7518056467498359
28,XGBoost,test_f1_micro,0.7660972404730617
29,XGBoost,test_f1_micro,0.812089356110381
30,XGBoost,test_f1_weighted,0.7861058141707655
31,XGBoost,test_f1_weighted,0.7499236616242276
32,XGBoost,test_f1_weighted,0.7506827468112455
33,XGBoost,test_f1_weighted,0.763630301239434
34,XGBoost,test_f1_weighted,0.812320479985133
